Graph, Category,Persistent Bytes,# Persistent,# Transient,Total Bytes,# Total,Transient/Total Bytes,
1,All Heap Allocations,53.84 MiB,551460,1160278,514.64 MiB,1711738,Ratio: %0.03,0.24%
0,Malloc 1.50 KiB,4.00 MiB,2733,3938,9.77 MiB,6671,Ratio: %0.00,0.00%
0,Malloc 8.00 KiB,1.12 MiB,143,256,3.12 MiB,399,Ratio: %0.00,0.00%
0,Malloc 16.00 KiB,1.05 MiB,67,43,1.72 MiB,110,Ratio: %0.00,0.00%
0,Malloc 64 Bytes,1.02 MiB,16634,84841,6.19 MiB,101475,Ratio: %0.00,0.00%
0,CFDictionary (mutable),975.75 KiB,15612,2,975.92 KiB,15614,Ratio: %0.00,0.00%
0,Malloc 32 Bytes,618.66 KiB,19797,78553,3.00 MiB,98350,Ratio: %0.00,0.00%
0,Malloc 288 Bytes,610.88 KiB,2172,1198,947.81 KiB,3370,Ratio: %0.00,0.00%
0,CFString (store),568.34 KiB,2483,65547,12.03 MiB,68030,Ratio: %0.00,0.01%
0,CFBasicHash (value-store),429.53 KiB,3812,21185,2.85 MiB,24997,Ratio: %0.00,0.00%
0,CFBasicHash (key-store),409.33 KiB,3685,17108,2.35 MiB,20793,Ratio: %0.00,0.00%
0,Malloc 40.00 KiB,400.00 KiB,10,3,520.00 KiB,13,Ratio: %0.00,0.00%
0,Malloc 272 Bytes,386.48 KiB,1455,8356,2.54 MiB,9811,Ratio: %0.00,0.00%
0,Malloc 5.00 KiB,355.00 KiB,71,127,990.00 KiB,198,Ratio: %0.00,0.00%
0,Malloc 2.00 KiB,344.00 KiB,172,702,1.71 MiB,874,Ratio: %0.00,0.00%
0,Malloc 8.50 KiB,289.00 KiB,34,661,5.77 MiB,695,Ratio: %0.00,0.00%
0,Malloc 48 Bytes,219.14 KiB,4675,77405,3.76 MiB,82080,Ratio: %0.00,0.00%
0,Malloc 80 Bytes,216.02 KiB,2765,15432,1.39 MiB,18197,Ratio: %0.00,0.00%
0,Malloc 16 Bytes,212.12 KiB,13576,64413,1.19 MiB,77989,Ratio: %0.00,0.00%
0,Malloc 528 Bytes,202.12 KiB,392,639,531.61 KiB,1031,Ratio: %0.00,0.00%
0,Malloc 4.50 KiB,184.50 KiB,41,1153,5.25 MiB,1194,Ratio: %0.00,0.00%
0,Malloc 400 Bytes,175.00 KiB,448,727,458.98 KiB,1175,Ratio: %0.00,0.00%
0,Malloc 2.50 KiB,170.00 KiB,68,706,1.89 MiB,774,Ratio: %0.00,0.00%
0,@autoreleasepool content,168.00 KiB,42,760,3.13 MiB,802,Ratio: %0.00,0.00%
0,Malloc 64.50 KiB,129.00 KiB,2,20,1.39 MiB,22,Ratio: %0.00,0.00%
0,CFData (store),127.08 KiB,35,1572,1.51 MiB,1607,Ratio: %0.00,0.00%
0,Malloc 256 Bytes,121.25 KiB,485,2414,724.75 KiB,2899,Ratio: %0.00,0.00%
0,Malloc 128 Bytes,107.38 KiB,859,415308,50.80 MiB,416167,Ratio: %0.00,0.03%
0,Malloc 544 Bytes,103.59 KiB,195,382,306.53 KiB,577,Ratio: %0.00,0.00%
0,Malloc 7.50 KiB,97.50 KiB,13,264,2.03 MiB,277,Ratio: %0.00,0.00%
0,__NSMallocBlock__,93.44 KiB,1962,28049,1.53 MiB,30011,Ratio: %0.00,0.00%
0,CFStorage (node bytes),83.12 KiB,857,1242,378.25 KiB,2099,Ratio: %0.00,0.00%
0,Malloc 4.00 KiB,80.00 KiB,20,2523,9.93 MiB,2543,Ratio: %0.00,0.01%
0,Malloc 19.00 KiB,76.00 KiB,4,18,418.00 KiB,22,Ratio: %0.00,0.00%
0,Malloc 3.00 KiB,75.00 KiB,25,345,1.08 MiB,370,Ratio: %0.00,0.00%
0,Malloc 144 Bytes,74.53 KiB,530,5494,847.12 KiB,6024,Ratio: %0.00,0.00%
0,__NSStackBlock__,72.47 KiB,1171,65498,3.85 MiB,66669,Ratio: %0.00,0.00%
0,Malloc 14.00 KiB,56.00 KiB,4,12,224.00 KiB,16,Ratio: %0.00,0.00%
0,CA::Render::Image,52.50 KiB,480,178,71.97 KiB,658,Ratio: %0.00,0.00%
0,CGDataProvider,48.94 KiB,261,54,59.06 KiB,315,Ratio: %0.00,0.00%
0,Malloc 112 Bytes,48.34 KiB,442,45434,4.90 MiB,45876,Ratio: %0.00,0.00%
0,CUIBOM_malloczero,47.06 KiB,66,93,64.14 KiB,159,Ratio: %0.00,0.00%
0,CFAllocator,43.88 KiB,216,134,71.09 KiB,350,Ratio: %0.00,0.00%
0,Malloc 880 Bytes,42.97 KiB,50,63,97.11 KiB,113,Ratio: %0.00,0.00%
0,Malloc 10.50 KiB,42.00 KiB,4,7,115.50 KiB,11,Ratio: %0.00,0.00%
0,Malloc 944 Bytes,40.56 KiB,44,28,66.38 KiB,72,Ratio: %0.00,0.00%
0,Malloc 512 Bytes,39.50 KiB,79,1234,656.50 KiB,1313,Ratio: %0.00,0.00%
0,Malloc 6.50 KiB,39.00 KiB,6,63,448.50 KiB,69,Ratio: %0.00,0.00%
0,Malloc 12.00 KiB,36.00 KiB,3,20,276.00 KiB,23,Ratio: %0.00,0.00%
0,Malloc 6.00 KiB,36.00 KiB,6,155,966.00 KiB,161,Ratio: %0.00,0.00%
0,Malloc 11.00 KiB,33.00 KiB,3,146,1.60 MiB,149,Ratio: %0.00,0.00%
0,Malloc 656 Bytes,32.03 KiB,50,137,119.80 KiB,187,Ratio: %0.00,0.00%
0,Malloc 1.00 KiB,31.00 KiB,31,1368,1.37 MiB,1399,Ratio: %0.00,0.00%
0,Malloc 912 Bytes,28.50 KiB,32,17,43.64 KiB,49,Ratio: %0.00,0.00%
0,Malloc 496 Bytes,28.09 KiB,58,190,120.12 KiB,248,Ratio: %0.00,0.00%
0,Malloc 7.00 KiB,28.00 KiB,4,168,1.18 MiB,172,Ratio: %0.00,0.00%
0,Malloc 3.50 KiB,28.00 KiB,8,1373,4.72 MiB,1381,Ratio: %0.00,0.00%
0,"Malloc 1,008 Bytes",27.56 KiB,28,182,206.72 KiB,210,Ratio: %0.00,0.00%
0,Malloc 784 Bytes,27.56 KiB,36,151,143.17 KiB,187,Ratio: %0.00,0.00%
0,Malloc 13.50 KiB,27.00 KiB,2,14,216.00 KiB,16,Ratio: %0.00,0.00%
0,CA::Render::Shmem,26.81 KiB,429,149,36.12 KiB,578,Ratio: %0.00,0.00%
0,Malloc 12.50 KiB,25.00 KiB,2,20,275.00 KiB,22,Ratio: %0.00,0.00%
0,Malloc 24.00 KiB,24.00 KiB,1,10,264.00 KiB,11,Ratio: %0.00,0.00%
0,Malloc 464 Bytes,23.56 KiB,52,263,142.73 KiB,315,Ratio: %0.00,0.00%
0,Malloc 11.50 KiB,23.00 KiB,2,11,149.50 KiB,13,Ratio: %0.00,0.00%
0,Malloc 96 Bytes,22.31 KiB,238,21181,1.96 MiB,21419,Ratio: %0.00,0.00%
0,Malloc 22.00 KiB,22.00 KiB,1,8,198.00 KiB,9,Ratio: %0.00,0.00%
0,Malloc 448 Bytes,20.56 KiB,47,897,413.00 KiB,944,Ratio: %0.00,0.00%
0,Malloc 20.00 KiB,20.00 KiB,1,10,220.00 KiB,11,Ratio: %0.00,0.00%
0,Malloc 752 Bytes,19.83 KiB,27,74,74.17 KiB,101,Ratio: %0.00,0.00%
0,Malloc 19.50 KiB,19.50 KiB,1,8,175.50 KiB,9,Ratio: %0.00,0.00%
0,OS_dispatch_queue,18.50 KiB,148,45,24.12 KiB,193,Ratio: %0.00,0.00%
0,Malloc 18.00 KiB,18.00 KiB,1,8,162.00 KiB,9,Ratio: %0.00,0.00%
0,Malloc 9.00 KiB,18.00 KiB,2,15,153.00 KiB,17,Ratio: %0.00,0.00%
0,Malloc 800 Bytes,17.97 KiB,23,177,156.25 KiB,200,Ratio: %0.00,0.00%
0,TFPFont,17.80 KiB,67,443,135.47 KiB,510,Ratio: %0.00,0.00%
0,Malloc 17.00 KiB,17.00 KiB,1,12,221.00 KiB,13,Ratio: %0.00,0.00%
0,Malloc 720 Bytes,16.88 KiB,24,83,75.23 KiB,107,Ratio: %0.00,0.00%
0,Malloc 816 Bytes,16.73 KiB,21,48,54.98 KiB,69,Ratio: %0.00,0.00%
0,Malloc 16.50 KiB,16.50 KiB,1,27,462.00 KiB,28,Ratio: %0.00,0.00%
0,Malloc 5.50 KiB,16.50 KiB,3,69,396.00 KiB,72,Ratio: %0.00,0.00%
0,Malloc 192 Bytes,15.75 KiB,84,12767,2.35 MiB,12851,Ratio: %0.00,0.00%
0,CG::Path::Sequence,15.28 KiB,326,1471,84.23 KiB,1797,Ratio: %0.00,0.00%
0,Malloc 976 Bytes,15.25 KiB,16,6,20.97 KiB,22,Ratio: %0.00,0.00%
0,Malloc 208 Bytes,15.23 KiB,75,8375,1.68 MiB,8450,Ratio: %0.00,0.00%
0,HTTPParser,15.03 KiB,26,647,389.08 KiB,673,Ratio: %0.00,0.00%
0,Malloc 15.00 KiB,15.00 KiB,1,18,285.00 KiB,19,Ratio: %0.00,0.00%
0,Malloc 14.50 KiB,14.50 KiB,1,14,217.50 KiB,15,Ratio: %0.00,0.00%
0,Malloc 576 Bytes,14.06 KiB,25,262,161.44 KiB,287,Ratio: %0.00,0.00%
0,Malloc 224 Bytes,13.12 KiB,60,25940,5.55 MiB,26000,Ratio: %0.00,0.00%
0,Malloc 13.00 KiB,13.00 KiB,1,25,338.00 KiB,26,Ratio: %0.00,0.00%
0,Malloc 384 Bytes,12.38 KiB,33,2490,946.12 KiB,2523,Ratio: %0.00,0.00%
0,icu::UnicodeString,11.94 KiB,191,290,30.06 KiB,481,Ratio: %0.00,0.00%
0,Malloc 368 Bytes,10.06 KiB,28,302,118.59 KiB,330,Ratio: %0.00,0.00%
0,Malloc 10.00 KiB,10.00 KiB,1,38,390.00 KiB,39,Ratio: %0.00,0.00%
0,Malloc 9.50 KiB,9.50 KiB,1,54,522.50 KiB,55,Ratio: %0.00,0.00%
0,Malloc 320 Bytes,9.06 KiB,29,444,147.81 KiB,473,Ratio: %0.00,0.00%
0,Malloc 336 Bytes,8.53 KiB,26,399,139.45 KiB,425,Ratio: %0.00,0.00%
0,Malloc 480 Bytes,8.44 KiB,18,126,67.50 KiB,144,Ratio: %0.00,0.00%
0,OS_dispatch_source,8.30 KiB,59,1118,165.52 KiB,1177,Ratio: %0.00,0.00%
0,Malloc 160 Bytes,8.28 KiB,53,2929,465.94 KiB,2982,Ratio: %0.00,0.00%
0,Malloc 848 Bytes,8.28 KiB,10,48,48.03 KiB,58,Ratio: %0.00,0.00%
0,Malloc 688 Bytes,8.06 KiB,12,54,44.34 KiB,66,Ratio: %0.00,0.00%
0,OS_dispatch_semaphore,7.97 KiB,102,886,77.19 KiB,988,Ratio: %0.00,0.00%
0,__CFCachedURLResponse,7.75 KiB,62,212,34.25 KiB,274,Ratio: %0.00,0.00%
0,__CFURLCacheNode,7.75 KiB,62,212,34.25 KiB,274,Ratio: %0.00,0.00%
0,Malloc 416 Bytes,7.72 KiB,19,158,71.91 KiB,177,Ratio: %0.00,0.00%
0,Malloc 608 Bytes,7.72 KiB,13,68,48.09 KiB,81,Ratio: %0.00,0.00%
0,Malloc 560 Bytes,7.11 KiB,13,224,129.61 KiB,237,Ratio: %0.00,0.00%
0,Malloc 304 Bytes,6.83 KiB,23,563,173.97 KiB,586,Ratio: %0.00,0.00%
0,Malloc 240 Bytes,6.56 KiB,28,1122,269.53 KiB,1150,Ratio: %0.00,0.00%
0,Malloc 672 Bytes,6.56 KiB,10,53,41.34 KiB,63,Ratio: %0.00,0.00%
0,Malloc 432 Bytes,6.33 KiB,15,221,99.56 KiB,236,Ratio: %0.00,0.00%
0,icu::DecimalFormatSymbols,6.00 KiB,2,51,159.00 KiB,53,Ratio: %0.00,0.00%
0,Malloc 768 Bytes,5.25 KiB,7,1169,882.00 KiB,1176,Ratio: %0.00,0.00%
0,Malloc 896 Bytes,5.25 KiB,6,92,85.75 KiB,98,Ratio: %0.00,0.00%
0,sfnt_name_t,4.84 KiB,101,42,6.67 KiB,143,Ratio: %0.00,0.00%
