Issue key,Issue id,Parent id,Status,Created,Updated,Custom field (End Date),Sprint,Sprint,Assignee,Custom field (Story Points),Project key,Project name,Project type,Project lead,Project description,Project url
ODNA-94922,387845,358651,Open,10/26/2017 4:12,10/26/2017 4:17,,React Native - Sprint 12,,Parijat.Chandra,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-94910,387810,357791,Open,10/26/2017 2:10,10/26/2017 2:19,,React Native - Sprint 12,,Parijat.Chandra,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-94902,387800,357791,Open,10/26/2017 1:35,10/26/2017 2:18,,React Native - Sprint 12,,Parijat.Chandra,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-94862,387519,354904,Open,10/25/2017 14:35,10/25/2017 14:35,,React Native Sprint 11,React Native - Sprint 12,janet.rivas-mendoza,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-94780,387027,354999,Open,10/25/2017 6:14,10/26/2017 4:00,,React Native Sprint 11,React Native - Sprint 12,avnish.chuchra,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-94607,386317,357818,Open,10/24/2017 7:24,10/26/2017 3:29,,React Native - Sprint 12,,shefali.gupta,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-94503,385801,354997,Pending test,10/23/2017 5:54,10/25/2017 6:20,,React Native Sprint 11,React Native - Sprint 12,ayush.kumar,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-94201,384704,358651,Pending test,10/17/2017 1:51,10/25/2017 10:34,,React Native - Sprint 12,,vasudha.sharma,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-93911,383444,354997,Open,10/12/17 6:27,10/25/2017 7:20,,React Native Sprint 11,React Native - Sprint 12,avnish.chuchra,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-93644,382464,354894,Pending test,10/11/17 5:25,10/26/2017 3:48,,React Native Sprint 11,React Native - Sprint 12,ayush.kumar,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-93642,382457,354894,Pending test,10/11/17 5:07,10/26/2017 3:53,,React Native Sprint 11,React Native - Sprint 12,ayush.kumar,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-93617,382400,354902,In Progress,10/11/17 1:18,10/26/2017 4:55,,React Native Sprint 11,React Native - Sprint 12,avnish.chuchra,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
ODNA-93408,381623,354999,In Progress,10/10/17 5:07,10/25/2017 14:58,,React Native Sprint 11,React Native - Sprint 12,avnish.chuchra,,ODNA,Office Depot NA,software,matthew.vorcheimer,,
